Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
Raymond James & Associates,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Rayonier Inc.,USA,Financials,F,Not requested,F,F,F,F
Raytheon Company,USA,Industrials,A-,A-,Not requested,Not requested,Not requested,Not requested
Realogy Holdings,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Realty Income Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Red Hat Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Regency Centers Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Regeneron Pharmaceuticals, Inc.",USA,Health Care,B,A-,Not requested,Not requested,Not requested,Not requested
Regions Financial Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Reinsurance Group of America, Incorporated (RGA)",USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Reliance Steel & Aluminum Co.,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Republic Services, Inc.",USA,Industrials,B,Not scored,Not requested,Not requested,Not requested,Not requested
ResMed,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Resolute Energy Corporation,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Restoration Hardware Holdings Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Reyes Holdings,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
Reynolds American Inc.,USA,Consumer Staples,A-,B,B,*,*,*
Rice Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Rite Aid Corp,USA,Consumer Staples,F,F,F,F,F,F
Robert Half International Inc.,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Rockline Industries,USA,Consumer Staples,D,Not requested,Not requested,Not requested,Not requested,Not requested
Rockwell Automation,USA,Industrials,D,C,Not requested,Not requested,Not requested,Not requested
"Rockwell Collins, Inc.",USA,Industrials,C,C,Not requested,Not requested,Not requested,Not requested
Roper Industries Inc,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
Rosetta Resources Inc.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Ross Stores Inc,USA,Consumer Discretionary,F,F,F,F,F,F
Royal Caribbean Cruises Ltd,USA,Consumer Discretionary,C,F,F,F,F,F
"Royal Cup, Inc.",USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Royal Gold, Inc.",USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"RPM International, Inc.",USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
RR Donnelley & Sons Co,USA,Industrials,Not requested,Not requested,F,F,F,F
"Ryder System, Inc.",USA,Industrials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Ryerson,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
S&P Global,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"S.C. Johnson & Son, Inc.",USA,Consumer Staples,C,Not requested,F,F,F,F
Sabre,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Safeway Inc.,USA,Consumer Staples,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
salesforce.com,USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
Salix Pharmaceuticals Ltd,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sanchez Energy Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sanderson Farms Inc,USA,Consumer Staples,D,Not requested,*,*,*,C-
SanDisk Corporation,USA,Information Technology,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Sandridge Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sanyo Denki America Inc,USA,Information Technology,D-,Not requested,Not requested,Not requested,Not requested,Not requested
SBA Communications Corp.,USA,Telecommunication Services,F,Not requested,Not requested,Not requested,Not requested,Not requested
SCANA Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Schlumberger Limited,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
"Schnitzer Steel Industries, Inc.",USA,Materials,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Scholastic Corporation,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Scotts Miracle-Gro Company,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Scripps Networks Interactive Inc.,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
Seaboard Corporation,USA,Consumer Staples,F,Not requested,F,F,F,F
Sealed Air Corp.,USA,Materials,A-,F,F,F,F,F
Sears Holdings Corporation,USA,Consumer Discretionary,D,Not requested,Not requested,Not requested,Not requested,Not requested
Seattle Genetics Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
SEI Investments Company,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Select Comfort Corp,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Sempra Energy,USA,Utilities,A-,B,Not requested,Not requested,Not requested,Not requested
ServiceNow Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sherwin-Williams Company,USA,Materials,C,B,Not requested,Not requested,Not requested,Not requested
Sigma-Aldrich Corporation,USA,Materials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Signature Bank,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Silgan Holdings,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Silicon Laboratories,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Simon Property Group,USA,Real Estate,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Sirius XM Radio Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
