Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
Vanguard Natural Resources,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Vantiv Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Varian Medical Systems Inc,USA,Health Care,B,B,Not requested,Not requested,Not requested,Not requested
Vector Group Ltd_,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Vectren Corporation,USA,Utilities,F,Not requested,F,F,F,F
Ventas Inc,USA,Real Estate,B,Not requested,Not requested,Not requested,Not requested,Not requested
Vereit Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Verisign Inc.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Verisk Analytics Inc,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Veritas Technologies LLC,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Verizon Communications Inc.,USA,Telecommunication Services,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Vertex Pharmaceuticals Inc,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
VF Corporation,USA,Consumer Discretionary,C,B,C,*,C,*
Via Seating,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Viacom Inc.,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
Viavi Solutions Inc.,USA,Information Technology,Not scored,F,Not requested,Not requested,Not requested,Not requested
Virgin Media Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Virtusa,USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
Visa,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Visteon,USA,Consumer Discretionary,D,Not requested,Not requested,Not requested,Not requested,Not requested
"VMware, Inc",USA,Information Technology,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Vornado Realty Trust,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Voya Financial,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
VTECH,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Vulcan Materials Company,USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
