Add,EQUITY RESIDENTIAL,EQR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ESSEX PROPERTY TRUST INC,ESS,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ESTEE LAUDER COMPANIES INC,EL,Consumer Goods,30-Jun-17,Climate Risk,S&P 500,View Report
Add,EVERSOURCE ENERGY,ES,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EXELON CORP,EXC,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"EXPEDIA, INC.",EXPE,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EXPRESS SCRIPTS HOLDING CO.,ESRX,Retail,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,EXTRA SPACE STORAGE INC.,EXR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,EXXON MOBIL CORP,XOM,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FACEBOOK INC,FB,Information Technology,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FASTENAL CO,FAST,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FEDERAL REALTY INVESTMENT TRUST,FRT,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FEDEX CORP,FDX,Transportation,31-May-17,Climate Risk,S&P 500,View Report
Add,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,FIFTH THIRD BANCORP,FITB,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"FIRST SOLAR, INC.",FSLR,Electronics,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FIRSTENERGY CORP,FE,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FISERV INC,FISV,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,FLIR SYSTEMS INC,FLIR,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FLOWSERVE CORP,FLS,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FLUOR CORP,FLR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FMC CORP,FMC,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"FOOT LOCKER, INC.",FL,Retail,28-Jan-17,Climate Risk,S&P 500,View Report
Add,FORD MOTOR CO,F,Automotive,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FORTIVE CORP,FTV,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"FORTUNE BRANDS HOME & SECURITY, INC.",FBHS,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"FOSSIL GROUP, INC.",FOSL,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,FREEPORT-MCMORAN INC,FCX,Mining,31-Dec-16,Climate Risk,S&P 500,View Report
Add,FRONTIER COMMUNICATIONS CORP,FTR,Telecommunications,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,GALLAGHER ARTHUR J & CO,AJG,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GAMESTOP CORP.,GME,Information Technology,28-Jan-17,Climate Risk,S&P 500,View Report
Add,GAP INC,GPS,Apparel & Textiles,28-Jan-17,Climate Risk,S&P 500,View Report
Add,GARMIN LTD,GRMN,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GENERAL DYNAMICS CORP,GD,Aerospace & Defense,31-Dec-16,Climate Risk,S&P 500,No disclosure
,GENERAL ELECTRIC CO,GE,Electronics,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GENERAL MILLS INC,GIS,Food & Beverages,28-May-17,Climate Risk,S&P 500,View Report
Add,GENERAL MOTORS CO,GM,Automotive,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GENUINE PARTS CO,GPC,Wholesale,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GENWORTH FINANCIAL INC,GNW,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,GGP INC.,GGP,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GILEAD SCIENCES INC,GILD,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GOLDMAN SACHS GROUP INC,GS,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GOODYEAR TIRE & RUBBER CO /OH/,GT,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,GRAINGER W W INC,GWW,Wholesale,31-Dec-16,Climate Risk,S&P 500,View Report
Add,H&R BLOCK INC,HRB,Services - Other,30-Apr-17,Climate Risk,S&P 500,No disclosure
Add,HALF ROBERT INTERNATIONAL INC /DE/,RHI,Services - Other,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,HALLIBURTON CO,HAL,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HANESBRANDS INC.,HBI,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HARLEY DAVIDSON INC,HOG,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HARRIS CORP /DE/,HRS,Aerospace & Defense,30-Jun-17,Climate Risk,S&P 500,View Report
Add,HARTFORD FINANCIAL SERVICES GROUP INC/DE,HIG,Insurance Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HASBRO INC,HAS,Consumer Goods,25-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"HCA HOLDINGS, INC.",HCA,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"HCP, INC.",HCP,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HENRY SCHEIN INC,HSIC,Wholesale,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,HERSHEY CO,HSY,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,HESS CORP,HES,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HOME DEPOT INC,HD,Retail,29-Jan-17,Climate Risk,S&P 500,View Report
Add,HONEYWELL INTERNATIONAL INC,HON,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HUMANA INC,HUM,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,HUNT J B TRANSPORT SERVICES INC,JBHT,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,HUNTINGTON BANCSHARES INC/MD,HBAN,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,IDEXX LABORATORIES INC /DE,IDXX,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ILLINOIS TOOL WORKS INC,ITW,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ILLUMINA INC,ILMN,Medical Equipment Manufacturing,1-Jan-17,Climate Risk,S&P 500,No disclosure
Add,INCYTE CORP,INCY,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,INGERSOLL-RAND PLC,IR,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,INTEL CORP,INTC,Electronics,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"INTERCONTINENTAL EXCHANGE, INC.",ICE,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,INTERNATIONAL BUSINESS MACHINES CORP,IBM,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,INTERNATIONAL PAPER CO /NEW/,IP,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"INTERPUBLIC GROUP OF COMPANIES, INC.",IPG,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,View Report
Add,INTUIT INC,INTU,Information Technology,31-Jul-17,Climate Risk,S&P 500,View Report
Add,INTUITIVE SURGICAL INC,ISRG,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,INVESCO LTD.,IVZ,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,IRON MOUNTAIN INC,IRM,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,J M SMUCKER CO,SJM,Food & Beverages,30-Apr-17,Climate Risk,S&P 500,View Report
Add,JOHNSON & JOHNSON,JNJ,Pharmaceuticals/Health Care,1-Jan-17,Climate Risk,S&P 500,View Report
Add,JPMORGAN CHASE & CO,JPM,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,JUNIPER NETWORKS INC,JNPR,Information Technology,31-Dec-16,Climate Risk,S&P 500,View Report
Add,KANSAS CITY SOUTHERN,KSU,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
