Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
CURIS INC,,8,1,13%,,,LEXINGTON
CURTISS WRIGHT CORP,,10,2,20%,Industrials,North Carolina,CHARLOTTE
Customers Bancorp Inc.,,7,1,14%,,,WYOMISSING
CUTERA INC,,8,0,0%,,,BRISBANE
CVB FINANCIAL CORP,,7,2,29%,Financial Services,California,ONTARIO
CVR ENERGY INC,,8,0,0%,Energy,Texas,SUGAR LAND
CVS Health Corp,,12,4,33%,Healthcare,Rhode Island,WOONSOCKET
CYBEROPTICS CORP,,5,1,20%,Technology,Minnesota,MINNEAPOLIS
Cynosure Inc.,,6,1,17%,Healthcare,Massachusetts,Westford
CYPRESS SEMICONDUCTOR CORP /DE/,,7,0,0%,Technology,California,SAN JOSE
CyrusOne Inc.,,8,1,13%,,,DALLAS
CYS Investments Inc.,,8,3,38%,,,WALTHAM
CYTOKINETICS INC,,8,1,13%,Healthcare,California,SOUTH SAN FRANCISCO
CytomX Therapeutics Inc.,,7,1,14%,,,SOUTH SAN FRANCISCO
DAILY JOURNAL CORP,,5,0,0%,,,LOS ANGELES
DAKTRONICS INC /SD/,,8,1,13%,,,BROOKINGS
DANA INC,,8,2,25%,Consumer Cyclical,Ohio,MAUMEE
DANAHER CORP /DE/,,12,2,17%,Industrials,District of Columbia,WASHINGTON
DARDEN RESTAURANTS INC,,8,3,38%,Consumer Cyclical,Florida,ORLANDO
DARLING INGREDIENTS INC.,,10,3,30%,Industrials,Texas,IRVING
Dave & Buster's Entertainment Inc.,,8,2,25%,,,DALLAS
DAVITA INC.,,11,3,27%,Healthcare,Colorado,DENVER
DCP Midstream Partners LP,,8,0,0%,Energy,Colorado,Denver
DCT Industrial Trust Inc.,,8,1,13%,,,DENVER
DDR CORP,,9,1,11%,Real Estate,Ohio,BEACHWOOD
DEAN FOODS CO,,8,2,25%,Consumer Defensive,Texas,DALLAS
DECKERS OUTDOOR CORP,,10,3,30%,Consumer Cyclical,California,GOLETA
DEERE & CO,,12,3,25%,Industrials,Illinois,MOLINE
Del Frisco's Restaurant Group Inc.,,7,1,14%,,,SOUTHLAKE
Del Taco Restaurants Inc.,,7,1,14%,,,LAKE FOREST
Delek US Holdings Inc.,,6,0,0%,Energy,Tennessee,BRENTWOOD
DELL TECHNOLOGIES INC,,6,1,17%,,,ROUND ROCK
Delphi Automotive PLC,,12,1,8%,,,GILLINGHAM
DELTA AIR LINES INC /DE/,,11,2,18%,Industrials,Georgia,ATLANTA
DELTA APPAREL INC,,8,1,13%,,,GREENVILLE
DELTA NATURAL GAS CO INC,,9,2,22%,,,WINCHESTER
Delta Tucker Holdings Inc.,,9,0,0%,Industrials,Virginia,McLean
DELTIC TIMBER CORP,,10,2,20%,,,EL DORADO
DELUXE CORP,,10,2,20%,Industrials,Minnesota,SHOREVIEW
Demand Media Inc.,,6,0,0%,Technology,California,Santa Monica
DENBURY RESOURCES INC,,7,1,14%,Energy,Texas,PLANO
DENNYS CORP,,10,3,30%,,,SPARTANBURG
DENTSPLY SIRONA Inc.,,11,0,0%,Healthcare,Pennsylvania,YORK
DEPOMED INC,,7,1,14%,Healthcare,California,NEWARK
Dermira Inc.,,10,1,10%,,,MENLO PARK
Destination Maternity Corporation,,7,1,14%,Consumer Cyclical,Pennsylvania,Philadelphia
Destination XL Group Inc.,,10,1,10%,Consumer Cyclical,Massachusetts,Canton
DEVON ENERGY CORP/DE,,9,2,22%,Energy,Oklahoma,OKLAHOMA CITY
DeVry Education Group,,10,2,20%,Consumer Defensive,Illinois,Downers Grove
DEXCOM INC,,9,1,11%,Healthcare,California,SAN DIEGO
DHI GROUP INC.,,10,3,30%,,,NEW YORK
DHT HOLDINGS INC.,,4,0,0%,,,HAMILTON
DIAMOND HILL INVESTMENT GROUP INC,,6,1,17%,,,COLUMBUS
DIAMOND OFFSHORE DRILLING INC,,11,0,0%,Energy,Texas,HOUSTON
Diamondback Energy Inc.,,5,0,0%,,,MIDLAND
DiamondRock Hospitality Co,,8,1,13%,Real Estate,Maryland,BETHESDA
DICKS SPORTING GOODS INC,,9,1,11%,Consumer Cyclical,Pennsylvania,CORAOPOLIS
DIEBOLD NIXDORF INC,,13,1,8%,Technology,Ohio,NORTH CANTON
DIGI INTERNATIONAL INC,,6,0,0%,,,MINNETONKA
Digimarc CORP,,7,0,0%,,,BEAVERTON
Digital Realty Trust Inc.,,9,1,11%,Real Estate,California,SAN FRANCISCO
DIGITALGLOBE INC,,9,2,22%,,,WESTMINSTER
DILLARDS INC,,12,1,8%,Consumer Cyclical,Arkansas,LITTLE ROCK
DIME COMMUNITY BANCSHARES INC,,10,1,10%,,,BROOKLYN
DineEquity Inc,,10,2,20%,Consumer Cyclical,California,GLENDALE
DIODES INC /DEL/,,7,1,14%,,,PLANO
Diplomat Pharmacy Inc.,,7,2,29%,Healthcare,Michigan,FLINT
Discover Financial Services,,12,3,25%,Financial Services,Illinois,RIVERWOODS
Discovery Communications Inc.,,11,1,9%,Consumer Cyclical,Maryland,SILVER SPRING
DISH Network CORP,,10,1,10%,Communication Services,Colorado,ENGLEWOOD
DMC Global Inc.,,8,0,0%,,,BOULDER
DNB FINANCIAL CORP /PA/,,11,2,18%,Financial Services,Pennsylvania,DOWNINGTOWN
Dolby Laboratories Inc.,,9,1,11%,Consumer Cyclical,California,SAN FRANCISCO
DOLLAR GENERAL CORP,,8,3,38%,Consumer Defensive,Tennessee,GOODLETTSVILLE
DOLLAR TREE INC,,11,1,9%,Consumer Defensive,Virginia,CHESAPEAKE
DOMINION RESOURCES INC /VA/,,12,3,25%,Utilities,Virginia,RICHMOND
DOMINOS PIZZA INC,,8,1,13%,Consumer Cyclical,Michigan,ANN ARBOR
Domtar CORP,,9,3,33%,Basic Materials,South Carolina,FORT MILL
DONALDSON CO INC,,10,1,10%,Industrials,Minnesota,MINNEAPOLIS
DONEGAL GROUP INC,,11,1,9%,,,MARIETTA
DONNELLEY FINANCIAL SOLUTIONS INC.,,8,2,25%,,,CHICAGO
DORIAN LPG LTD.,,7,1,14%,,,STAMFORD
Dorman Products Inc.,,6,0,0%,,,COLMAR
DOUGLAS DYNAMICS INC,,6,1,17%,,,MILWAUKEE
