Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
LA-Z-BOY INC,,9,3,33%,,,MONROE
LABORATORY CORP OF AMERICA HOLDINGS,,10,2,20%,Healthcare,North Carolina,BURLINGTON
Ladder Capital Corp,,6,0,0%,,,NEW YORK
LADENBURG THALMANN FINANCIAL SERVICES INC,,10,1,10%,Financial Services,Florida,MIAMI
LAKELAND BANCORP INC,,13,2,15%,,,OAK RIDGE
LAKELAND FINANCIAL CORP,,12,1,8%,,,WARSAW
LAM RESEARCH CORP,,11,2,18%,Technology,California,FREMONT
LAMAR ADVERTISING CO/NEW,,7,1,14%,Real Estate,Louisiana,BATON ROUGE
LANCASTER COLONY CORP,,9,1,11%,,,COLUMBUS
Land O'Lakes Inc.,,24,1,4%,Consumer Defensive,Minnesota,Arden Hills
LANDAUER INC,,10,1,10%,,,GLENWOOD
LANDEC CORP \CA\,,8,3,38%,,,MENLO PARK
LANDS' END INC.,,8,2,25%,,,DODGEVILLE
LANDSTAR SYSTEM INC,,7,2,29%,Industrials,Florida,JACKSONVILLE
LANNETT CO INC,,6,0,0%,,,PHILADELPHIA
Lantheus Holdings Inc.,,9,2,22%,,,NORTH BILLERICA
Laredo Petroleum Inc.,,8,1,13%,,,TULSA
LAS VEGAS SANDS CORP,,11,1,9%,Consumer Cyclical,Nevada,LAS VEGAS
LaSalle Hotel Properties,,7,1,14%,Real Estate,Maryland,BETHESDA
LATTICE SEMICONDUCTOR CORP,,8,1,13%,,,PORTLAND
LAUREATE EDUCATION INC.,,11,1,9%,,,BALTIMORE
LAWSON PRODUCTS INC/NEW/DE/,,9,1,11%,,,CHICAGO
LAYNE CHRISTENSEN CO,,7,0,0%,,,THE WOODLANDS
Lazard Ltd,,10,3,30%,Financial Services,,HAMILTON
LCI INDUSTRIES,,9,0,0%,,,ELKHART
LCNB CORP,,8,2,25%,,,LEBANON
LEAF GROUP LTD.,,9,1,11%,,,SANTA MONICA
LeapFrog Enterprises Inc.,,7,0,0%,Consumer Cyclical,California,Emeryville
LEAR CORP,,10,2,20%,Consumer Cyclical,Michigan,SOUTHFIELD
Learning Tree International Inc.,,7,1,14%,Consumer Defensive,Virginia,Reston
LegacyTexas Financial Group Inc.,,8,2,25%,,,PLANO
LEGG MASON INC.,,10,1,10%,Financial Services,Maryland,BALTIMORE
LEGGETT & PLATT INC,,9,2,22%,Consumer Cyclical,Missouri,CARTHAGE
Leidos Holdings Inc.,,13,3,23%,Technology,Virginia,RESTON
LEMAITRE VASCULAR INC,,7,0,0%,,,BURLINGTON
LendingClub Corp,,9,1,11%,,,SAN FRANCISCO
LendingTree Inc.,,9,2,22%,,,CHARLOTTE
LENNAR CORP /NEW/,,10,2,20%,Consumer Cyclical,Florida,MIAMI
LENNOX INTERNATIONAL INC,,10,3,30%,Industrials,Texas,RICHARDSON
LEUCADIA NATIONAL CORP,,11,1,9%,Consumer Defensive,New York,NEW YORK
LEVEL 3 COMMUNICATIONS INC,,11,1,9%,Communication Services,Colorado,BROOMFIELD
Levi Strauss & Co.,,11,4,36%,Consumer Cyclical,California,San Francisco
LEXICON PHARMACEUTICALS INC./DE,,9,1,11%,,,THE WOODLANDS
LEXINGTON REALTY TRUST,,7,2,29%,,,NEW YORK
Lexmark International Inc.,,12,2,17%,Technology,Kentucky,Lexington
LGI Homes Inc.,,6,0,0%,,,THE WOODLANDS
LHC Group Inc,,10,1,10%,Healthcare,Louisiana,LAFAYETTE
LIBBEY INC,,8,4,50%,,,TOLEDO
Liberty Broadband Corp,,5,0,0%,,,ENGLEWOOD
Liberty Global PLC,,12,1,8%,Communication Services,,London W6 8BS
Liberty Interactive Corp,,11,1,9%,Consumer Cyclical,Colorado,ENGLEWOOD
Liberty Media Corp,,9,1,11%,Consumer Cyclical,Colorado,ENGLEWOOD
Liberty Mutual Holding Company Inc.,,12,4,33%,Financial Services,Massachusetts,Boston
LIBERTY PROPERTY TRUST,,9,2,22%,Real Estate,Pennsylvania,MALVERN
Liberty Tax Inc.,,9,1,11%,Consumer Cyclical,Virginia,VIRGINIA BEACH
Liberty TripAdvisor Holdings Inc.,,6,0,0%,,,ENGLEWOOD
LIFE STORAGE INC.,,6,0,0%,,,BUFFALO
LifeLock Inc,,8,2,25%,Technology,Arizona,Tempe
LIFEPOINT HEALTH INC.,,8,2,25%,Healthcare,Tennessee,BRENTWOOD
LIFETIME BRANDS INC,,10,2,20%,,,GARDEN CITY
LIFEWAY FOODS INC,,7,2,29%,,,MORTON GROVE
LIGAND PHARMACEUTICALS INC,,7,0,0%,Healthcare,California,SAN DIEGO
Lightbridge Corporation,,6,1,17%,Basic Materials,Virginia,McLean
LILIS ENERGY INC.,,6,0,0%,,,SAN ANTONIO
LILLY ELI & CO,,14,4,29%,Healthcare,Indiana,INDIANAPOLIS
Limelight Networks Inc.,,7,0,0%,,,TEMPE
Limoneira CO,,9,1,11%,Consumer Defensive,California,SANTA PAULA
LINCOLN ELECTRIC HOLDINGS INC,,11,2,18%,Industrials,Ohio,CLEVELAND
LINCOLN NATIONAL CORP,,10,2,20%,Financial Services,Pennsylvania,RADNOR
LINDBLAD EXPEDITIONS HOLDINGS INC.,,7,1,14%,,,NEW YORK CITY
LINDSAY CORP,,8,0,0%,,,OMAHA
Linear Technology Corporation,,7,0,0%,Technology,California,Milpitas
LinkedIn Corporation,,7,1,14%,Technology,California,Mountain View
Linn Energy LLC,,6,0,0%,Energy,Texas,Houston
Lionbridge Technologies Inc.,,9,1,11%,Industrials,Massachusetts,Waltham
LIONS GATE ENTERTAINMENT CORP /CN/,,13,1,8%,Consumer Cyclical,British Columbia,SANTA MONICA
LIQUIDITY SERVICES INC,,7,1,14%,Consumer Cyclical,District of Columbia,WASHINGTON
LITHIA MOTORS INC,,6,1,17%,Consumer Cyclical,Oregon,MEDFORD
LITTELFUSE INC /DE,,8,0,0%,,,CHICAGO
Live Nation Entertainment Inc.,,12,1,8%,Consumer Cyclical,California,BEVERLY HILLS
Live Oak Bancshares Inc.,,10,1,10%,,,WILMINGTON
LIVEPERSON INC,,6,1,17%,,,NEW YORK
LKQ CORP,,10,1,10%,Consumer Cyclical,Illinois,CHICAGO
LMI AEROSPACE INC,,9,1,11%,,,ST. CHARLES
LOCKHEED MARTIN CORP,,12,4,33%,Industrials,Maryland,BETHESDA
LOEWS CORP,,14,1,7%,Financial Services,New York,NEW YORK
LogMeIn Inc.,,9,0,0%,,,BOSTON
LORAL SPACE & COMMUNICATIONS INC.,,6,1,17%,,,NEW YORK
LOUISIANA-PACIFIC CORP,,7,2,29%,Basic Materials,Tennessee,NASHVILLE
LOWES COMPANIES INC,,11,3,27%,Consumer Cyclical,North Carolina,MOORESVILLE
Loxo Oncology Inc.,,9,1,11%,,,STAMFORD
LPL Financial Holdings Inc.,,9,2,22%,Financial Services,Massachusetts,BOSTON
LSB INDUSTRIES INC,,11,1,9%,,,OKLAHOMA CITY
LSC COMMUNICATIONS INC.,,9,3,33%,,,CHICAGO
LSI INDUSTRIES INC,,7,0,0%,,,CINCINNATI
LTC PROPERTIES INC,,5,2,40%,Real Estate,California,WESTLAKE VILLAGE
lululemon athletica inc.,,10,3,30%,,,VANCOUVER
Lumber Liquidators Holdings Inc.,,7,1,14%,Consumer Cyclical,Virginia,TOANO
Lumentum Holdings Inc.,,6,1,17%,,,MILPITAS
LUMINEX CORP,,8,0,0%,,,AUSTIN
Lumos Networks Corp.,,9,0,0%,Communication Services,Virginia,WAYNESBORO
Luna Innovations Inc.,,6,0,0%,Technology,Virginia,Roanoke
LYDALL INC /DE/,,8,2,25%,,,MANCHESTER
LyondellBasell Industries N.V.,,11,3,27%,Basic Materials,,LONDON
M I HOMES INC,,9,2,22%,,,COLUMBUS
M&T BANK CORP,,14,2,14%,Financial Services,New York,BUFFALO
MACATAWA BANK CORP,,10,1,10%,,,HOLLAND
MACERICH CO,,10,2,20%,Real Estate,California,SANTA MONICA
MACK CALI REALTY CORP,,9,1,11%,Real Estate,New Jersey,JERSEY CITY
MACOM Technology Solutions Holdings Inc.,,7,1,14%,Technology,Massachusetts,LOWELL
Macquarie Infrastructure Corp,,6,1,17%,,,NEW YORK
MACROGENICS INC,,8,1,13%,,,ROCKVILLE
Macy's Inc.,,12,6,50%,Consumer Cyclical,Ohio,CINCINNATI
Madison Square Garden Co,,14,2,14%,Consumer Cyclical,New York,NEW YORK
MAGELLAN HEALTH INC,,9,2,22%,Healthcare,Arizona,SCOTTSDALE
Magellan Midstream Partners L.P.,,8,2,25%,Energy,Oklahoma,Tulsa
Maiden Holdings Ltd.,,5,0,0%,,,HAMILTON
MAINSOURCE FINANCIAL GROUP,,9,2,22%,,,GREENSBURG
Majesco,,8,0,0%,,,MORRISTOWN
Malibu Boats Inc.,,9,0,0%,,,LOUDON
Mallinckrodt plc,,10,2,20%,,,CHESTERFIELD
MALVERN BANCORP INC.,,8,2,25%,,,PAOLI
MANHATTAN ASSOCIATES INC,,7,0,0%,,,ATLANTA
MANITOWOC CO INC,,9,1,11%,Industrials,Wisconsin,MANITOWOC
MannKind Corporation,,7,0,0%,Healthcare,California,Valencia
ManpowerGroup Inc.,,13,5,38%,Industrials,Wisconsin,MILWAUKEE
MANTECH INTERNATIONAL CORP,,7,1,14%,Technology,Virginia,FAIRFAX
MARATHON OIL CORP,,8,1,13%,Energy,Texas,HOUSTON
Marathon Petroleum Corp,,11,1,9%,Energy,Ohio,FINDLAY
Marcus & Millichap Inc.,,7,1,14%,,,CALABASAS
MARCUS CORP,,11,2,18%,,,MILWAUKEE
Marin Software Inc.,,8,1,13%,Technology,California,San Francisco
MARINE PRODUCTS CORP,,9,1,11%,,,ATLANTA
MARINEMAX INC,,8,1,13%,Consumer Cyclical,Florida,CLEARWATER
MARKEL CORP,,15,1,7%,Financial Services,Virginia,GLEN ALLEN
MARKETAXESS HOLDINGS INC,,10,1,10%,,,NEW YORK
Marketo Inc.,,8,2,25%,Technology,California,San Mateo
MARLIN BUSINESS SERVICES CORP,,7,0,0%,,,MOUNT LAUREL
MARRIOTT INTERNATIONAL INC /MD/,,14,4,29%,Consumer Cyclical,Maryland,BETHESDA
Marriott Vacations Worldwide Corp,,8,1,13%,,,ORLANDO
MARSH & MCLENNAN COMPANIES INC.,,12,2,17%,Financial Services,New York,NEW YORK
MARTEN TRANSPORT LTD,,7,0,0%,,,MONDOVI
MARTIN MARIETTA MATERIALS INC,,9,2,22%,Basic Materials,North Carolina,RALEIGH
MARVELL TECHNOLOGY GROUP LTD,,8,0,0%,Technology,,HAMILTON
MASCO CORP /DE/,,10,2,20%,Basic Materials,Michigan,TAYLOR
MASIMO CORP,,6,0,0%,Healthcare,California,IRVINE
MASONITE INTERNATIONAL CORP,,9,1,11%,Basic Materials,Florida,CONCORD
Massachusetts Mutual Life Insurance Company,,12,4,33%,Financial Services,Massachusetts,Springfield
MASTEC INC,,9,1,11%,Industrials,Florida,CORAL GABLES
MASTERCARD INC,,12,3,25%,Financial Services,New York,PURCHASE
Matador Resources Co,,10,1,10%,,,DALLAS
Match Group Inc.,,11,3,27%,,,DALLAS
MATERION Corp,,10,1,10%,,,MAYFIELD HEIGHTS
MATINAS BIOPHARMA HOLDINGS INC.,,5,0,0%,,,BEDMINSTER
MATRIX SERVICE CO,,7,0,0%,,,TULSA
Matson Inc.,,7,1,14%,,,HONOLULU
MATTEL INC /DE/,,11,4,36%,Consumer Cyclical,California,EL SEGUNDO
MATTHEWS INTERNATIONAL CORP,,10,1,10%,,,PITTSBURGH
MAUI LAND & PINEAPPLE CO INC,,5,0,0%,,,MAUI
MAXIM INTEGRATED PRODUCTS INC,,8,2,25%,Technology,California,SAN JOSE
MAXIMUS INC,,9,2,22%,Industrials,Virginia,RESTON
MAXLINEAR INC,,6,0,0%,,,CARLSBAD
MAXWELL TECHNOLOGIES INC,,7,0,0%,,,SAN DIEGO
MB FINANCIAL INC /MD,,12,3,25%,,,CHICAGO
MBIA INC,,10,2,20%,Financial Services,New York,PURCHASE
MBT FINANCIAL CORP,,10,2,20%,,,MONROE
MCBC Holdings Inc.,,7,0,0%,,,VONORE
MCCORMICK & CO INC,,11,3,27%,Consumer Defensive,Maryland,SPARKS
MCDERMOTT INTERNATIONAL INC,,8,1,13%,Energy,Texas,HOUSTON
MCDONALDS CORP,,11,3,27%,Consumer Cyclical,Illinois,OAK BROOK
MCGRATH RENTCORP,,7,1,14%,Industrials,California,LIVERMORE
MCKESSON CORP,,8,3,38%,Healthcare,California,SAN FRANCISCO
MDC HOLDINGS INC,,8,0,0%,Consumer Cyclical,Colorado,DENVER
MDC PARTNERS INC,,6,1,17%,,,NEW YORK
MDU RESOURCES GROUP INC,,10,2,20%,Basic Materials,North Dakota,BISMARCK
MedEquities Realty Trust Inc.,,9,0,0%,,,NASHVILLE
Media General Inc.,,11,2,18%,Consumer Cyclical,Virginia,Richmond
Medical Mutual of Ohio,,9,1,11%,Healthcare,Ohio,Cleveland
MEDICAL PROPERTIES TRUST INC,,7,0,0%,,,BIRMINGHAM
MEDICINES CO /DE,,11,1,9%,,,PARSIPPANY
MEDICINOVA INC,,4,0,0%,,,LA JOLLA
Medidata Solutions Inc.,,7,0,0%,,,NEW YORK
MEDIFAST INC,,9,1,11%,Consumer Cyclical,Maryland,OWINGS MILLS
Medivation Inc.,,8,3,38%,Healthcare,California,San Francisco
MEDLEY MANAGEMENT INC.,,6,0,0%,,,NEW YORK
MEDNAX INC.,,10,2,20%,Healthcare,Florida,SUNRISE
Medtronic plc,,13,4,31%,Healthcare,Minnesota,DUBLIN
Meet Group Inc.,,6,1,17%,,,NEW HOPE
MERCANTILE BANK CORP,,8,1,13%,,,GRAND RAPIDS
Merchants Bancshares Inc.,,11,3,27%,Financial Services,Vermont,South Burlington
Merck & Co. Inc.,,13,3,23%,Healthcare,New Jersey,KENILWORTH
MERCURY GENERAL CORP,,9,1,11%,Financial Services,California,LOS ANGELES
MERCURY SYSTEMS INC,,7,0,0%,Technology,Massachusetts,CHELMSFORD
MEREDITH CORP,,8,2,25%,,,DES MOINES
Meridian Bancorp Inc.,,12,3,25%,,,PEABODY
MERIDIAN BIOSCIENCE INC,,6,1,17%,,,CINCINNATI
MERIT MEDICAL SYSTEMS INC,,9,1,11%,,,SOUTH JORDAN
Meritage Homes CORP,,9,1,11%,Consumer Cyclical,Arizona,SCOTTSDALE
MERITOR INC,,8,2,25%,Consumer Cyclical,Michigan,TROY
MERRIMACK PHARMACEUTICALS INC,,9,1,11%,,,CAMBRIDGE
MESA LABORATORIES INC /CO,,7,0,0%,,,LAKEWOOD
META FINANCIAL GROUP INC,,7,2,29%,,,SIOUX FALLS
Metaldyne Performance Group Inc.,,8,0,0%,Consumer Cyclical,Michigan,Plymouth
METHODE ELECTRONICS INC,,10,2,20%,,,CHICAGO
METLIFE INC,,11,3,27%,Financial Services,New York,NEW YORK
METTLER TOLEDO INTERNATIONAL INC/,,9,1,11%,Healthcare,Ohio,COLUMBUS
MFA FINANCIAL INC.,,8,2,25%,,,NEW YORK
MGE ENERGY INC,,9,2,22%,Utilities,Wisconsin,MADISON
MGIC INVESTMENT CORP,,10,1,10%,Financial Services,Wisconsin,MILWAUKEE
MGM Resorts International,,11,3,27%,Consumer Cyclical,Nevada,LAS VEGAS
MGP INGREDIENTS INC,,9,2,22%,,,ATCHISON
Michael Kors Holdings Ltd,,9,4,44%,,,LONDON
Michaels Companies Inc.,,10,2,20%,Consumer Cyclical,Texas,IRVING
MICROCHIP TECHNOLOGY INC,,5,1,20%,Technology,Arizona,CHANDLER
MICRON TECHNOLOGY INC,,7,1,14%,Technology,Idaho,BOISE
MICROSEMI CORP,,8,1,13%,Technology,California,ALISO VIEJO
Microsoft Corporation,,11,3,27%,Technology,Washington,REDMOND
MICROSTRATEGY INC,,5,0,0%,Technology,Virginia,TYSONS CORNER
MICROVISION INC,,7,0,0%,,,REDMOND
MID AMERICA APARTMENT COMMUNITIES INC,,12,2,17%,,,MEMPHIS
Middleburg Financial Corporation,,11,2,18%,Financial Services,Virginia,Middleburg
MIDDLEBY CORP,,7,2,29%,,,ELGIN
MIDDLEFIELD BANC CORP,,12,1,8%,,,MIDDLEFIELD
MIDDLESEX WATER CO,,8,2,25%,,,ISELIN
Midland States Bancorp Inc.,,11,1,9%,,,EFFINGHAM
MIDSOUTH BANCORP INC,,10,0,0%,Financial Services,Louisiana,LAFAYETTE
MidWestOne Financial Group Inc.,,12,2,17%,,,IOWA CITY
Milacron Holdings Corp.,,9,0,0%,,,CINCINNATI
MILLER HERMAN INC,,12,5,42%,Industrials,Michigan,ZEELAND
MILLER INDUSTRIES INC /TN/,,5,0,0%,,,OOLTEWAH
MIMEDX GROUP INC.,,10,0,0%,,,MARIETTA
MINDBODY Inc.,,8,3,38%,,,SAN LUIS OBISPO
MINERALS TECHNOLOGIES INC,,8,1,13%,,,NEW YORK CITY
Minerva Neurosciences Inc.,,8,2,25%,,,WALTHAM
Mistras Group Inc.,,7,0,0%,,,PRINCETON JUNCTION
MITEK SYSTEMS INC,,7,0,0%,,,SAN DIEGO
MKS INSTRUMENTS INC,,9,2,22%,Technology,Massachusetts,ANDOVER
MOBILE MINI INC,,9,2,22%,,,PHOENIX
MOBILEIRON INC.,,8,1,13%,,,MOUNTAIN VIEW
MODEL N INC.,,6,1,17%,Technology,California,REDWOOD CITY
MODINE MANUFACTURING CO,,9,2,22%,Consumer Cyclical,Wisconsin,RACINE
ModusLink Global Solutions Inc.,,6,0,0%,Industrials,Massachusetts,Waltham
Moelis & Co,,8,1,13%,,,NEW YORK
MOHAWK INDUSTRIES INC,,9,1,11%,Consumer Cyclical,Georgia,CALHOUN
MOLINA HEALTHCARE INC,,10,1,10%,Healthcare,California,LONG BEACH
MOLSON COORS BREWING CO,,14,2,14%,Consumer Defensive,Colorado,DENVER
Molycorp Inc,,8,0,0%,Basic Materials,Colorado,Greenwood Village
MOMENTA PHARMACEUTICALS INC,,9,1,11%,,,CAMBRIDGE
Momentive Performance Materials Inc.,,11,0,0%,Industrials,New York,Waterford
MONARCH CASINO & RESORT INC,,5,1,20%,,,RENO
Mondelez International Inc.,,13,4,31%,Consumer Defensive,Illinois,DEERFIELD
MONEYGRAM INTERNATIONAL INC,,10,2,20%,Financial Services,Texas,DALLAS
MONMOUTH REAL ESTATE INVESTMENT CORP,,11,2,18%,,,FREEHOLD
Monogram Residential Trust Inc.,,7,1,14%,,,PLANO
MONOLITHIC POWER SYSTEMS INC,,6,0,0%,Technology,California,SAN JOSE
Monotype Imaging Holdings Inc.,,8,2,25%,Technology,Massachusetts,WOBURN
MONRO MUFFLER BRAKE INC,,6,0,0%,,,ROCHESTER
MONSANTO CO /NEW/,,13,3,23%,Basic Materials,Missouri,ST. LOUIS
Monster Beverage Corp,,10,1,10%,Consumer Defensive,California,CORONA
Monster Worldwide Inc.,,7,1,14%,Industrials,Massachusetts,Weston
MOODYS CORP /DE/,,9,2,22%,Industrials,New York,NEW YORK
MOOG INC,,9,1,11%,Industrials,New York,EAST AURORA
MORGAN STANLEY,,14,2,14%,Financial Services,New York,NEW YORK
Morningstar Inc.,,10,3,30%,Industrials,Illinois,CHICAGO
MOSAIC CO,,12,2,17%,Basic Materials,Minnesota,PLYMOUTH
MOTORCAR PARTS AMERICA INC,,10,1,10%,,,TORRANCE
Motorists Mutual Insurance Company,,11,3,27%,Financial Services,Ohio,Columbus
Motorola Solutions Inc.,,9,2,22%,Technology,Illinois,CHICAGO
MOVADO GROUP INC,,9,1,11%,,,PARAMUS
MRC GLOBAL INC.,,10,1,10%,Energy,Texas,HOUSTON
MSA Safety Inc,,8,2,25%,,,CRANBERRY TOWNSHIP
MSC INDUSTRIAL DIRECT CO INC,,9,1,11%,Industrials,New York,MELVILLE
MSCI Inc.,,12,4,33%,Industrials,New York,NEW YORK
MSG NETWORKS INC.,,12,0,0%,,,NEW YORK
MTGE Investment Corp.,,5,1,20%,,,BETHESDA
MTS SYSTEMS CORP,,8,2,25%,Technology,Minnesota,EDEN PRAIRIE
MUELLER INDUSTRIES INC,,7,0,0%,Industrials,Tennessee,MEMPHIS
Mueller Water Products Inc.,,8,2,25%,,,ATLANTA
MULESOFT INC,,7,1,14%,,,SAN FRANCISCO
MULTI COLOR Corp,,7,0,0%,,,BATAVIA
Multi-Fineline Electronix Inc.,,7,1,14%,Technology,California,Irvine
MURPHY OIL CORP /DE,,12,2,17%,Energy,Arizona,EL DORADO
Murphy USA Inc.,,10,1,10%,Consumer Cyclical,Arkansas,EL DORADO
Mutual of America Life Insurance Company,,16,3,19%,Financial Services,New York,New York
Mutual of Omaha Insurance Company,,10,3,30%,Financial Services,Nebraska,Omaha
MUTUALFIRST FINANCIAL INC,,11,0,0%,,,MUNCIE
MYERS INDUSTRIES INC,,9,2,22%,,,AKRON
Mylan N.V.,,11,4,36%,Healthcare,,HATFIELD
MyoKardia Inc,,9,3,33%,,,SOUTH SAN FRANCISCO
MYR GROUP INC.,,10,0,0%,,,ROLLING MEADOWS
MYRIAD GENETICS INC,,7,1,14%,Healthcare,Utah,SALT LAKE CITY
NABORS INDUSTRIES LTD,,7,1,14%,Energy,,HAMILTON
NACCO INDUSTRIES INC,,9,0,0%,Consumer Cyclical,Ohio,CLEVELAND
NANOMETRICS INC,,7,1,14%,Technology,California,MILPITAS
NanoString Technologies Inc,,7,0,0%,,,SEATTLE
NantKwest Inc.,,7,0,0%,,,SAN DIEGO
NAPCO SECURITY TECHNOLOGIES INC,,7,1,14%,,,AMITYVILLE
NASDAQ INC.,,9,3,33%,Financial Services,New York,NEW YORK
Natera Inc.,,9,1,11%,,,SAN CARLOS
NATHANS FAMOUS INC,,8,0,0%,,,JERICHO
National Bank Holdings Corp,,7,1,14%,,,GREENWOOD VILLAGE
NATIONAL BANKSHARES INC,,14,2,14%,Financial Services,Virginia,BLACKSBURG
NATIONAL BEVERAGE CORP,,5,0,0%,Consumer Defensive,Florida,FORT LAUDERDALE
National CineMedia Inc.,,9,1,11%,,,CENTENNIAL
National Commerce Corp,,14,1,7%,,,BIRMINGHAM
NATIONAL FUEL GAS CO,,10,1,10%,Energy,New York,WILLIAMSVILLE
National General Holdings Corp.,,7,1,14%,Financial Services,New York,NEW YORK
National Grid PLC,,11,4,36%,Utilities,,London
NATIONAL HEALTH INVESTORS INC,,4,0,0%,,,MURFREESBORO
NATIONAL HEALTHCARE CORP,,8,0,0%,,,MURFREESBORO
NATIONAL INSTRUMENTS CORP,,8,1,13%,Technology,Texas,AUSTIN
