People's Utah Bancorp,,11,1,9%,,,AMERICAN FORK
PEOPLES BANCORP INC,,10,3,30%,,,MARIETTA
PEOPLES BANCORP OF NORTH CAROLINA INC,,10,0,0%,,,NEWTON
PEOPLES FINANCIAL SERVICES CORP.,,13,1,8%,,,SCRANTON
PEPSICO INC,,14,4,29%,Consumer Defensive,New York,PURCHASE
PERFICIENT INC,,5,0,0%,,,ST. LOUIS
Performance Food Group Co,,9,1,11%,Consumer Defensive,Virginia,RICHMOND
Performant Financial Corporation,,6,1,17%,Industrials,California,Livermore
Perfumania Holdings Inc.,,6,0,0%,Consumer Cyclical,New York,Bellport
PERKINELMER INC,,8,1,13%,Healthcare,Massachusetts,WALTHAM
PERRIGO Co plc,,11,2,18%,Healthcare,,DUBLIN
PERRY ELLIS INTERNATIONAL INC,,7,1,14%,Consumer Cyclical,Florida,MIAMI
PETMED EXPRESS INC,,5,0,0%,Consumer Defensive,Florida,DELRAY BEACH
PFIZER INC,,12,3,25%,Healthcare,New York,NEW YORK
PG&E Corp,,13,3,23%,Utilities,California,SAN FRANCISCO
PGT Innovations Inc.,,9,1,11%,Basic Materials,Florida,NORTH VENICE
Pharmaceutical Product Development LLC,,9,1,11%,Healthcare,North Carolina,Wilmington
PharmAthene Inc.,,6,0,0%,Healthcare,Maryland,Annapolis
PharMerica CORP,,7,1,14%,Healthcare,Kentucky,LOUISVILLE
PHH CORP,,7,1,14%,Financial Services,New Jersey,MOUNT LAUREL
PHI INC,,5,0,0%,,,LAFAYETTE
PHIBRO ANIMAL HEALTH CORP,,8,2,25%,,,TEANECK
Philip Morris International Inc.,,13,2,15%,Consumer Defensive,New York,NEW YORK
Phillips 66,,10,3,30%,Energy,Texas,HOUSTON
PHOTRONICS INC,,7,0,0%,,,BROOKFIELD
Physicians Realty Trust,,7,0,0%,,,MILWAUKEE
PICO HOLDINGS INC /NEW,,5,0,0%,Real Estate,California,LA JOLLA
Piedmont Natural Gas Company Inc.,,13,3,23%,Utilities,North Carolina,Charlotte
Piedmont Office Realty Trust Inc.,,8,2,25%,Real Estate,Georgia,JOHNS CREEK
PIER 1 IMPORTS INC/DE,,9,4,44%,,,FORT WORTH
